stem,word,pos
hatr,hatred,VB
yellow,yellow,VB
whose,whose,VB
accus,accused,VB
spin,spinning,VB
sweetest,sweetest,JJ
igual,igual,JJ
certain,certain,JJ
worth,worth,JJ
lonesom,lonesome,VB
lurk,lurking,VB
distort,distorted,VB
vast,vast,JJ
prize,prize,VB
naiv,naive,JJ
second,second,JJ
amus,amused,VB
lightn,lightning,VB
upset,upset,VB
new,new,JJ
med,med,VB
golden,golden,JJ
tempt,tempted,VB
strap,strapped,VB
moral,moral,JJ
stern,stern,JJ
total,total,JJ
unit,united,JJ
music,music,JJ
tell,tell,VB
griev,grieve,VB
warn,warning,VB
warm,warm,JJ
wors,worse,JJ
give,give,VB
wirklich,wirklich,JJ
want,want,VB
hot,hot,JJ
confin,confined,VB
recogn,recognize,VB
vicious,vicious,JJ
wrong,wrong,JJ
beauti,beautiful,JJ
third,third,JJ
imposs,impossible,JJ
wink,wink,VB
green,green,JJ
worst,worst,JJ
origin,original,JJ
crumbl,crumble,JJ
finest,finest,JJ
gentl,gentle,VB
easier,easier,JJ
safe,safe,JJ
luce,luce,VB
rocki,rocky,JJ
went,went,VB
goe,goes,VB
got,got,VB
written,written,VB
free,free,JJ
bailar,bailar,JJ
ritual,ritual,JJ
rais,raise,VB
loud,loud,JJ
trembl,tremble,JJ
independ,independent,JJ
agre,agree,VB
top,top,JJ
listen,listen,VB
took,took,VB
western,western,JJ
provid,provide,VB
raw,raw,JJ
seen,seen,VB
seem,seems,VB
chest,chest,JJ
crippl,crippled,VB
addict,addicted,VB
grave,grave,VB
glow,glow,VB
doe,does,VB
left,left,VB
came,came,VB
pave,paved,VB
sanctuari,sanctuary,JJ
deepest,deepest,JJ
rich,rich,JJ
do,do,VB
klein,kleine,VB
nasti,nasty,JJ
bad,bad,JJ
bled,bled,VB
respons,responsible,JJ
best,best,JJ
subject,subject,JJ
awar,aware,JJ
said,said,VB
awak,awake,VB
warrior,warrior,JJ
wo,won't,VB
weak,weak,JJ
unfold,unfold,JJ
intox,intoxicated,VB
weari,weary,JJ
assur,assured,VB
tough,tough,JJ
pose,pose,VB
assum,assume,VB
been,been,VB
much,much,JJ
tini,tiny,JJ
funer,funeral,JJ
fest,fest,JJ
suav,suave,VB
save,save,VB
is,is,VB
sting,sting,VB
jest,jest,JJ
grown,grown,VB
perform,perform,VB
make,make,VB
complex,complex,JJ
ingent,ingenting,VB
social,social,JJ
jealous,jealous,JJ
kept,kept,VB
soak,soaked,VB
taint,tainted,VB
greatest,greatest,JJ
had,had,VB
has,has,VB
gave,gave,VB
lake,lake,VB
negat,negative,JJ
soar,soar,VB
old,old,JJ
dead,dead,JJ
intern,international,JJ
bore,bored,VB
drove,drove,VB
bold,bold,JJ
cherish,cherish,JJ
produc,produced,VB
float,floating,VB
vuelv,vuelve,VB
wrap,wrapped,VB
happi,happy,JJ
call,call,VB
was,was,VB
wrote,wrote,VB
everlast,everlasting,VB
forg,forged,VB
jive,jive,JJ
true,true,JJ
electr,electric,JJ
vive,vive,JJ
tie,tied,VB
dies,diese,JJ
fell,fell,VB
consid,consider,VB
younger,younger,JJ
receiv,receive,VB
longer,longer,JJ
serious,serious,JJ
daili,daily,JJ
invent,invented,VB
decid,decide,VB
string,string,VB
mourn,mourning,VB
captiv,captive,JJ
shave,shave,VB
cose,cose,VB
brave,brave,VB
regret,regret,VB
sigh,sigh,JJ
worn,worn,JJ
bake,bake,VB
current,current,JJ
french,french,JJ
wait,waiting,VB
shove,shove,VB
guilti,guilty,JJ
pillow,pillow,VB
love,love,VB
extra,extra,JJ
rattl,rattle,VB
prefer,prefer,VB
impos,imposible,JJ
live,live,JJ
angri,angry,JJ
vous,vous,JJ
savior,savior,JJ
prepar,prepared,JJ
pretend,pretend,VB
sous,sous,JJ
sour,sour,JJ
purpos,purpose,VB
pink,pink,VB
write,write,VB
such,such,JJ
dove,dove,VB
grow,grow,VB
leve,leve,VB
conscious,conscious,JJ
confus,confused,VB
ordinari,ordinary,JJ
anticip,anticipating,VB
yearn,yearning,VB
civil,civil,JJ
whole,whole,JJ
kaiken,kaiken,VB
main,main,JJ
shatter,shattered,VB
disappoint,disappointed,JJ
not,don't,VB
separ,separate,JJ
replac,replace,VB
begun,begun,VB
shown,shown,VB
bless,blessed,VB
seventh,seventh,JJ
auch,auch,JJ
romant,romantic,JJ
honest,honest,JJ
swing,swing,VB
think,think,VB
arriv,arrive,JJ
spanish,spanish,JJ
ring,ring,VB
open,open,JJ
given,given,VB
white,white,JJ
short,short,JJ
boyfriend,boyfriend,VB
wide,wide,JJ
gotta,gotta,VB
were,were,VB
say,say,VB
take,take,VB
concern,concerned,JJ
begin,begin,VB
sure,sure,JJ
normal,normal,JJ
ust,usted,JJ
paid,paid,VB
pathet,pathetic,JJ
greed,greed,VB
steadi,steady,JJ
hungri,hungry,JJ
righteous,righteous,JJ
slow,slow,VB
pen,pen,VB
black,black,JJ
stain,stained,VB
american,american,JJ
get,get,VB
borrow,borrow,VB
priest,priest,JJ
wonder,wonder,VB
appear,appear,VB
import,important,JJ
come,come,VB
quiet,quiet,JJ
tous,tous,JJ
mani,many,JJ
hypnot,hypnotized,VB
constant,constant,JJ
ultim,ultimate,JJ
seiz,seize,VB
sest,s'est,JJ
carv,carved,VB
wake,wake,VB
rememb,remember,VB
ive,ive,JJ
everyday,everyday,JJ
same,same,JJ
check,check,VB
see,see,VB
nest,n'est,JJ
weed,weed,VB
driven,driven,VB
weep,weep,VB
justifi,justify,VB
rose,rose,VB
littl,little,JJ
instrument,instrumental,JJ
determin,determined,VB
darl,darling,VB
reap,reap,VB
legal,legal,JJ
complic,complicated,VB
throw,throw,VB
ach,aching,VB
greater,greater,JJ
intens,intense,JJ
routin,routine,JJ
uptown,uptown,JJ
starv,starving,VB
low,low,JJ
stupid,stupid,JJ
darken,darkened,VB
joint,joint,JJ
gone,gone,VB
am,am,VB
deep,deep,JJ
sacr,sacred,VB
aw,awful,JJ
poor,poor,JJ
drift,drifting,VB
follow,follow,VB
einmal,einmal,JJ
strang,strange,JJ
strand,stranded,VB
small,small,JJ
stumbl,stumble,JJ
volar,volar,JJ
excit,excited,VB
abl,able,JJ
public,public,JJ
full,full,JJ
depend,depend,VB
legend,legend,VB
leav,leave,VB
search,searching,VB
depart,departed,VB
ask,ask,VB
send,send,VB
morn,morning,VB
taken,taken,VB
minor,minor,JJ
hundr,hundred,VB
broke,broke,VB
known,known,VB
learn,learn,VB
abandon,abandoned,VB
accept,accept,VB
sharp,sharp,JJ
condemn,condemned,VB
untru,untrue,JJ
cling,cling,VB
strong,strong,JJ
unabl,unable,JJ
blacken,blackened,VB
read,read,VB
ding,ding,VB
realiz,realize,VB
good,good,JJ
bigger,bigger,JJ
did,did,VB
achiev,achieve,VB
mental,mental,JJ
hard,hard,JJ
terrifi,terrified,VB
heavi,heavy,JJ
expect,expect,VB
bubbl,bubble,JJ
believ,believe,VB
put,put,VB
sicken,sickening,VB
wither,withered,VB
fallen,fallen,VB
major,major,JJ
done,done,VB
differ,different,JJ
guest,guest,JJ
least,least,JJ
reliev,relieve,VB
king,king,VB
kind,kind,VB
remov,remove,VB
vocal,vocal,JJ
asham,ashamed,VB
stalk,stalking,VB
complet,complete,JJ
dedic,dedicated,VB
sell,sell,VB
built,built,VB
euch,euch,JJ
couch,couch,JJ
build,build,VB
play,play,VB
english,english,JJ
amaz,amazing,VB
unspoken,unspoken,JJ
clear,clear,JJ
clean,clean,JJ
weigh,weigh,JJ
find,find,VB
nervous,nervous,JJ
unhappi,unhappy,JJ
bend,bend,VB
famous,famous,JJ
grew,grew,VB
common,common,JJ
gotten,gotten,VB
overwhelm,overwhelmed,JJ
jade,jaded,VB
sed,sed,VB
are,are,VB
spiritu,spiritual,JJ
someth,something,VB
hold,hold,VB
kneel,kneel,VB
sold,sold,VB
arrang,arranged,VB
last,last,JJ
foreign,foreign,JJ
rave,rave,VB
deceiv,deceive,JJ
due,due,JJ
empti,empty,JJ
miser,miserable,JJ
secret,secret,JJ
threaten,threatening,VB
invis,invisible,JJ
modern,modern,JJ
infect,infected,VB
highest,highest,JJ
stolen,stolen,VB
look,look,VB
solid,solid,JJ
fleet,fleeting,VB
readi,ready,JJ
mystic,mystic,JJ
rid,rid,JJ
vanish,vanish,VB
anguish,anguish,JJ
grant,granted,VB
grand,grand,JJ
higher,higher,JJ
weird,weird,JJ
lower,lower,JJ
older,older,JJ
spend,spend,VB
howl,howling,VB
quest,quest,JJ
bruis,bruised,VB
glove,glove,VB
collect,collect,VB
conceiv,conceive,JJ
sleigh,sleigh,JJ
foolish,foolish,JJ
christian,christian,JJ
curious,curious,JJ
larg,large,JJ
be,be,VB
run,run,VB
most,most,JJ
idl,idle,JJ
real,real,JJ
ascend,ascend,VB
won’t,won’t,VB
atom,atomic,JJ
grind,grind,VB
swirl,swirling,VB
nice,nice,JJ
lend,lend,VB
enslav,enslaved,VB
fresh,fresh,JJ
go,go,VB
privat,private,JJ
young,young,JJ
becam,became,VB
wave,wave,VB
uhhuh,uh-huh,JJ
tri,try,VB
marri,married,JJ
pleas,please,VB
crook,crooked,VB
hardest,hardest,JJ
rotten,rotten,VB
indian,indian,JJ
involv,involved,VB
led,led,VB
chose,chose,VB
let,let,VB
sing,sing,VB
great,great,JJ
northern,northern,JJ
shake,shake,VB
win,win,VB
use,used,VB
doubl,double,JJ
gern,gern,JJ
flat,flat,JJ
next,next,JJ
few,few,JJ
harvest,harvest,JJ
wretch,wretched,VB
critic,critical,JJ
roar,roar,VB
obvious,obvious,JJ
aliv,alive,JJ
tap,tap,VB
lock,locked,VB
high,high,JJ
crimin,criminal,JJ
forest,forest,JJ
stop,stop,VB
paralyz,paralyzed,VB
ceil,ceiling,VB
physic,physical,JJ
allow,allow,VB
batter,battered,VB
snake,snake,VB
scatter,scattered,VB
surviv,survive,JJ
strive,strive,JJ
static,static,JJ
sexual,sexual,JJ
special,special,JJ
attend,attend,VB
sentiment,sentimental,JJ
defend,defend,VB
cest,c'est,JJ
sever,severed,VB
wick,wicked,VB
red,red,JJ
southern,southern,JJ
etern,eternal,JJ
guarante,guaranteed,VB
enchant,enchanted,VB
keep,keep,VB
scari,scary,JJ
scare,scared,VB
glisten,glisten,VB
unknown,unknown,JJ
boil,boiling,VB
gear,gear,VB
big,big,JJ
biggest,biggest,JJ
tangl,tangled,VB
rendezv,rendezvous,JJ
becom,become,VB
terribl,terrible,JJ
crucifi,crucified,VB
have,have,VB
loos,loose,JJ
expos,exposed,VB
singl,single,JJ
nous,nous,JJ
prove,prove,VB
stronger,stronger,JJ
frighten,frightened,VB
bring,bring,VB
niet,niet,JJ
darkest,darkest,JJ
tire,tired,VB
suppos,supposed,VB
local,local,JJ
familiar,familiar,JJ
disagre,disagree,VB
rumbl,rumble,JJ
redeem,redeemed,VB
lucki,lucky,JJ
possibl,possible,JJ
apolog,apologize,VB
nuclear,nuclear,JJ
tend,tend,VB
entir,entire,JJ
disconnect,disconnected,VB
precious,precious,JJ
qual,qual,JJ
weav,weave,VB
equal,equal,JJ
succeed,succeed,VB
glorious,glorious,JJ
reborn,reborn,VB
solv,solve,VB
general,general,JJ
present,present,JJ
brauch,brauch,JJ
wild,wild,JJ
girlfriend,girlfriend,VB
denial,denial,JJ
welcom,welcome,VB
began,began,VB
satisfi,satisfied,JJ
handl,handle,VB
easi,easy,JJ
slave,slave,VB
drink,drink,VB
choos,choose,VB
latest,latest,JJ
kiss,kiss,VB
less,less,JJ
weekend,weekend,VB
papel,papel,VB
add,add,VB
other,other,JJ
know,know,VB
unseen,unseen,JJ
lost,lost,VB
incred,incredible,JJ
bibl,bible,JJ
corpor,corporate,JJ
lose,lose,VB
soft,soft,JJ
shed,shed,VB
captur,captured,VB
reviv,revive,JJ
broad,broad,JJ
lean,lean,JJ
leap,leap,VB
settl,settle,VB
behav,behave,VB
nake,naked,JJ
trap,trapped,VB
worthi,worthy,JJ
forgiv,forgive,JJ
rare,rare,JJ
swear,swear,JJ
hier,hier,JJ
fals,false,JJ
own,own,JJ
automat,automatic,JJ
crave,crave,VB
spiral,spiral,JJ
buy,buy,VB
wed,wedding,VB
continu,continue,VB
whistl,whistle,VB
grate,grateful,JJ
selfish,selfish,JJ
made,made,VB
wish,wish,JJ
troubl,trouble,JJ
belov,beloved,VB
cake,cake,VB
manchmal,manchmal,JJ
happen,happen,VB
groov,groove,VB
cave,cave,VB
sick,sick,JJ
reckless,reckless,JJ
ese,ese,JJ
humbl,humble,JJ
