tid,artist_name_msd,title_msd,mxm_tid,artist_name_mxm,title_mxm
TRMMMKD128F425225D,Karkkiautomaatti,Tanssi vaan,4418550,Karkkiautomaatti,Tanssi vaan
TRMMMRX128F93187D9,Hudson Mohawke,No One Could Ever,8898149,Hudson Mohawke,No One Could Ever
TRMMMCH128F425532C,Yerba Brava,Si Vos Querés,9239868,Yerba Brava,Si vos queres
TRMMMXN128F42936A5,David Montgomery,"Symphony No. 1 G minor ""Sinfonie Serieuse""/Allegro con energia",5346741,Franz Berwald,"Symphony No. 1 in G minor ""Sinfonie Sérieuse"": I. Allegro con energia"
TRMMMBB12903CB7D21,Kris Kross,2 Da Beat Ch'yall,2511405,Kris Kross,2 Da Beat Ch'yall
TRMMMHY12903CB53F1,Joseph Locke,Goodbye,793273,Joseph LoDuca,Goodbye
TRMMMNS128F93548E1,3 Gars Su'l Sofa,L'antarctique,7503609,3 gars su'l sofa,L'Antarctique
TRMMMXJ12903CBF111,Jorge Negrete,El hijo del pueblo,7362052,Jorge Negrete,El hijo del pueblo
TRMMMBW128F4260CAE,Tiger Lou,Pilots,7833814,Tiger Lou,Pilots
TRMMMXI128F4285A3F,Waldemar Bastos,N Gana,2320200,Waldemar Bastos,N Gana
TRMMMKI128F931D80D,Lena Philipsson,006,4280619,Lena Philipsson,006
TRMMMUT128F42646E8,Shawn Colvin,(Looking For) The Heart Of Saturday,674743,Shawn Colvin,(Looking for) The Heart of Saturday Night
TRMMMQY128F92F0EA3,Dying Fetus,Ethos of Coercion,8851472,Dying Fetus,Ethos of Coercion
TRMMMTK128F424EF7C,Emery,Rock-N-Rule,9855482,Emery,Rock-N-Rule
TRMMMQV12903CA201E,Rev. Timothy Wright,I Made It Over,610698,Rev. Timothy Wright,I Made It Over
TRMMMPN128F426610E,Nicolette,Nervous,721926,Nicolette,Nervous
TRMMMNO128F93539AA,Martin Sexton,In The Journey,1860322,Martin Sexton,In the Journey
TRMMMTG128F426B5BB,Craze,Fuckin Ethic People (999),620542,DJ Craze,Fuckin Ethic People (999)
TRMMMPJ128F9306985,Christian Castro,Tu Vida Con La Mía,3578541,Christian Castro,Tu vida con la mia
TRMMMRZ128F4265EB4,Aerosmith,I'm Ready,2124234,Aerosmith,I'm Ready
TRMMMKD12903CF219E,Skinlab,Take As Needed,1093778,Skinlab,Take as Needed
TRMMMJW12903CF239E,Piotta,Tequila,3462792,Piotta,Tequila
TRMMMWA128F1462C8C,Sev Statik,All For A Purpose (Speak Life Album Version),1941194,Sev Statik,All for a Purpose
TRMMMQN128F4238509,Prince & The Revolution,Raspberry Beret (LP Version),1078688,Prince & The Revolution,Raspberry Beret
TRMMMKQ128F92EBCB5,Kreator,All of the same blood,1071669,Kreator,All of the Same Blood
TRMMMQK128F428AB1F,Hall Of Fame,One Little Too Little,2843061,Hall of Fame,One Little Too Little
TRMMMPU128F42B134D,Frank Chacksfield,Cockleshell Heroes,9320599,Frank Chacksfield,Cockleshell Heroes
TRMMMYP128F429A5E4,Voyage,Trancesequence,1688425,Voyage,Trancesequence
TRMMMKN12903CB44A5,Wishbone Ash,Wonderful Stash,6544020,Wishbone Ash,Wonderful Stash
TRMMMUZ128F4238E64,Malavoi,La filo,3918722,Malavoi,La filo
TRMMMTP128F4276193,Cobra Verde,Throw It Away,1815398,Cobra Verde,Throw It Away
TRMMMSA128F425FA38,Lisa Brokop,Before He Kissed Me,1338599,Lisa Brokop,Before He Kissed Me
TRMMMHS128F42A0971,The Emotions,Blessed,1135373,The Emotions,Blessed
TRMMMDJ128F92CC9F6,Hawthorne Heights,Disaster [Demo Version],7512990,Hawthorne Heights,Disaster (demo version)
TRMMMBU128F9305AC3,The Maytals,Night And Day,3254947,Toots & The Maytals,Night and Day
TRMMMFJ128F92E15AC,Neffa,Passione,7264035,Neffa,Passione
TRMMMNI12903CE0AF1,Lil O,My Everything [Screwed] (feat. Trae The Truth),8589413,Lil' O,My Everything (feat. Trae tha Truth)
TRMMMFG128F425087B,Billy Idol,Scream,3465039,Billy Idol,Scream
TRMMMLV128F14821BE,Out Of The Grey,He Is Not Silent (Out Of The Grey Album Version),1001510,Out of the Grey,He Is Not Silent
TRMMMLF128F4228771,Leo Marini,Acércate Más,7497639,Osvaldo Farrés,Acércate Más (Nat King Cole)
TRMMMXD128F932AD86,Sheb Wooley,Mule Boogie,8029089,Sheb Wooley,Mule Boogie
TRMMMQA128F14A454A,Diana Krall,Dancing In The Dark,755404,Diana Krall,Dancing in the Dark
TRMMMGL128F92FD6AB,Clifford T. Ward,Mad About You,6821012,Clifford T. Ward,Mad About You
TRMMWMW12903CC6062,Joe Diffie,Ships That Don't Come In,1724033,Joe Diffie,Ships That Don't Come In
TRMMWDA128F9343B5B,Blackfoot,Saturday Night  (LP Version),6140619,Blackfoot,Saturday Night
TRMMWDL128F9300D5D,Stemm,On the Surface,5006517,Stemm,On the Surface
TRMMWJS12903CBB7F5,Aerosmith,Remember (Walking In The Sand),730669,Aerosmith,Remember (Walking in the Sand)
TRMMWOM12903CB21B8,Hot Lips Page,Just Another Woman,12401396,Hot Lips Page,Just Another Woman
TRMMWYF128F42557B7,David Fridlund,untitled,3219938,David Fridlund,[untitled]
TRMMWZE12903D0EB43,Kultiration,Bakslag,3156278,Kultiration,Bakslag
TRMMWVS12903CDD6FB,Ewigkeit,The New Way,5120827,Ewigkeit,The New Way
TRMMWCK128F92D4800,Alpha 5.20,Cités dortoires (feat. 59 Grammes),9668137,Alpha 5.20,Pression Sanguine
TRMMWLD128F9301BF2,Tonex,Bring It,686792,Soulfly,Bring It
TRMMWBU128F930B7CF,Finis Tasby,Sitting In My Window (Finis Tasby BMI),6082996,Finis Tasby,Sitting in My Window
TRMMWNY12903CF28D2,Warren Zevon,The Rest of the Night,1576953,Warren Zevon,The Rest of the Night
TRMMWMT128F9345B1B,Andrea Klas,Ride,2900636,Andrea Klas,Ride
TRMMWNB12903C9A959,The Soup Dragons,Passion Protein,4570651,The Soup Dragons,Passion Protein
TRMMWQF12903CC0CAC,Write This Down,Redemption,9933245,Write This Down,Redemption
TRMMWVB128F9312434,Radio Macandé,Dame Tus  Besos,1303365,Radio Macandé,Dame Tus Besos
TRMMWNW128F931511B,Brigitte Fontaine,Le mauvais coton,9798980,Brigitte Fontaine,Le Mauvais Coton
TRMMWFG128F92DFAA2,Hex,Subtek,9431887,Hex,Subtek
TRMMWPD128F4247095,X-Perience,Dream Of Love,5617719,X-Perience,Dream of Love
TRMMWQU12903CF447F,Diablo Swing Orchestra,Lucy Fears the Morning Star,8859768,Diablo Swing Orchestra,Lucy Fears the Morning Star
TRMMWTW128F42783DD,John Williams,Fool on the Hill,9675465,John Williams,Lennon / McCartney (Arr. Brouwer) - Fool on the Hill
TRMMWXK12903CDED07,Fucked Up,Baiting the Public,5405769,Fucked Up,Baiting the Public
TRMMWHJ128F42869B2,The Surfaris,Wipeout,13843656,The Surfaris,Wipeout
TRMMWAO128F93182D2,Kool Savas,Fick uns,12502153,Kool Savas,Fick Uns
TRMMWVG12903CBF769,Prinz Porno,Wir Sind Die Jungs feat. Din & Smexer,4768233,Prinz Porno,Wer sind die Jungs (feat. Din & Smexer)
TRMMWBR128F930E399,Lord T & Eloise,Make Dat Monet,6526022,Lord T & Eloise,Make Dat Monet
TRMMWWE12903D067F2,Kingdom Come,Two Legged Sheep,5491830,Kingdom Come,Two Legged Sheep
TRMMWAO128F42A53EB,Gemelli Diversi,Chi Sei Adesso,1915683,Gemelli Diversi,Chi sei adesso
TRMMWCX128F92EF4C8,Alice In Videoland,Stuck On My Vision,4230512,Alice in Videoland,Stuck on My Vision
TRMMWSE128F93041C5,Kristian Meurman,Joku muu,8637622,Kristian Meurman,Joku muu
TRMMWJP12903CD8807,Felt,Whaleface (Instrumental),9248595,Felt,Whaleface
TRMMWJD12903CC0F05,Gangster Fun,Brown Paper Bag,3291323,Gangster Fun,Brown Paper Bag
TRMMWTG128F4283F07,Roger Whittaker,You Needed Me,7740223,Roger Whittaker,You Needed Me
TRMMWXW128F422976E,A.Human,Pacey Singer,7333180,A.Human,Pacey Singer
TRMMWMR12903CF8643,Tiësto,Ride,7749204,Tiësto vs. Cary Brothers,Ride (Tiesto remix)
TRMMWRF128F1462252,Ice Cube Featuring Chuck D,Endangered Species (Tales From The Darkside) (Remix) (Explicit) (Feat. Chuck D),865870,Ice Cube,Endangered Species (Tales From the Darkside) (feat. Chuck D.)
TRMMWJM128F4227255,Archie Roach,Summer Of My Life,1564939,Archie Roach,Summer of My Life
TRMMWEZ128F1455EAC,Lester Flatt / Earl Scruggs / The Foggy Mountain Boys,Foggy Mountain Breakdown,2733788,Lester Flatt & Earl Scruggs & The Foggy Mountain Boys,Foggy Mountain Breakdown
TRMMWJY128F1469B8A,Luis Eduardo Aute,What Matters Is Just You,6310504,Luis Eduardo Aute,What Matters Is Just You
TRMMWAH128F92F9D00,Lonesome River Band,Southern Comfort,3246773,Lonesome River Band,Southern Comfort
TRMMWYJ128EF358EA7,Retard-O-Bot,Something From Nothing,6155293,Retard-O-Bot,Something for Nothing
TRMMWWX128F92DAF12,Michael Whalen,Half Light,3874300,Michael Whalen,First Light
TRMMWPX128F14965B8,Mark Wills,High Low And In Between,1765742,Mark Wills,High Low and in Between
TRMMWSG128F92DD9AB,Roberto Carlos,Detalles,7882687,Roberto Carlos,Detalles
TRMMGDQ128F4277AE7,Fine China,Rock Can't Last Forever  (You Hate Me Hate Music Album Version),1322000,Fine China,Rock Can't Last Forever
TRMMGCB128E079651D,Morcheeba,Get Along (Feat: Pace Won) (Instrumental),947540,Morcheeba,Get Along (feat. Pace Won)
TRMMGQO12903CD4F19,"Richard ""Groove"" Holmes",Caravan,11089017,"Richard ""Groove"" Holmes",Caravan
TRMMGPD128F42AA230,Lamb,Just Is,1129940,Lamb,Just Is
TRMMGIL128F92DBA59,DJ Markitos,Inside Your Dreams,3163938,DJ Markitos,Inside Your Dreams
TRMMGTX128F92FB4D9,Bacilos,Viejo,1303175,Bacilos,Viejo
TRMMGBF128F931B836,Toyah,Victims of the Riddle [Vivisection],1346397,Toyah,Victims of the Riddle (Vivisection)
TRMMGBQ12903CDF86A,The Wolfmen,Kama Sutra,2797188,The Bonzo Dog Band,Kama Sutra
TRMMGYY128F4289515,Fausto Leali,E non lo scorderò,4366100,Fausto Leali,E non lo scorderò
TRMMGHM128F4270EA7,Link 80,What Can I Do?,653426,Link 80,What Can I Do?
TRMMGMC12903CF7FF0,Spyro Gyra,Pacific Sunrise,2429761,Spyro Gyra,Pacific Sunrise
TRMMGDG12903CDB0E8,White Willow,Gnostalgia,1410926,White Willow,Gnostalgia
TRMMGPB128F428B04A,Robbie Williams,Sin Sin Sin (Sentience Loney Mix),4279431,Robbie Williams,Sin Sin Sin
TRMMGEG12903CB4CFC,Prager Handgriff,Bihac,4584817,Prager Handgriff,Bihac
TRMMGAX128F428FD18,American Boychoir,Praise_ My Soul_ The King Of Heaven,2444038,The American Boychoir,"Praise, My Soul, the King of Heaven"
TRMMGGP128F934AD1D,Thought Industry,Edward Smith,595965,Thought Industry,Edward Smith
TRMMGEU12903CF009A,Red Animal War,Dark Country,1918767,Red Animal War,Dark Country
TRMMGST128F92F25EC,Lonesome River Band,Highway Paved With Pain,4198081,Lonesome River Band,Highway Paved With Pain
TRMMGRZ12903CE1C82,Jason Becker,End Of The Beginning (Album Version),787959,Jason Becker,End of the Beginning
TRMMGUF12903CB279D,Sunscreem,Britannia,9461332,Sunscreem,Britannia
TRMMGPI128F932E6D7,Motormark,I'm About To Do Something (That I'm Gonna Regret),3103434,Motormark,I'm About to do Something (That I'm Gonna Regret)
TRMMGYR128F4282BAE,Underworld,Ring Road,6543947,Underworld,Ring Road
TRMMGTM128F930282D,Airscape,LEsperanza,2604007,Airscape,L Esperanza
TRMMGPL12903CCDB98,Neal Morse,That Crutch,6050645,Neal Morse,That Crutch
TRMMGDP128F933E59A,Al Green,I Say A Little Prayer,5377534,Al Green,I Say a Little Prayer
TRMMGJZ128F4270235,The Muffins,Dawning Star,4255395,The Muffins,Dawning Star
TRMMGKQ128F934B4CE,The Funky Lowlives,Irreplaceable,2663913,The Funky Lowlives,Irreplaceable
TRMMGCK128F932EC2E,Brian Vander Ark,And Then You Went Away,9139662,Brian Vander Ark,And Then You Went Away
TRMMGKX128F421ADC1,Debbie Davies,You Don't Know What You're Doing,6081435,Debbie Davies,You Don't Know What You're Doing
TRMMGNC12903CABD4A,Boo Hewerdine,Touched (Intro: From 'That Winter' By Pamela Gillilan),3401182,Boo Hewerdine,Touched
TRMMGSH128F4243869,Katatonia,Day,9008366,Katatonia,Day and Then the Shade
TRMMGGU128F14A93DD,Zen Cafe,En oo koskaan tavannut,1679564,Zen Café,En oo koskaan tavannut
TRMMGUF12903CAFF44,Warlocks,Militant Musicfreaks,4241890,Warlocks,Militant Musicfreaks
TRMMGIB12903D043E5,Luis Bacalov,The Color Of The Water / Dreaming Of The Future,8862459,Luis Bacalov,The Color of the Water / Dreaming of the Future
TRMMGKT12903CA6C1A,AJP,Nothing More to Say,1805293,David Ryan Harris,Nothing More to Say
TRMMGER128F9324C09,La Souris Déglinguée,Rock'n'roll vengeance,5857421,La Souris déglinguée,Rock n' Roll Vengeance
TRMMGVE128F427B346,Mickey 3D,Qui ? (version baba cool),12537962,Mickey 3D,Qui ? (version Baba Cool)
TRMMGXC12903CB18F6,Glen Glenn,Laurie Ann,9022372,Glen Glenn,Laurie Ann
TRMMGRT128F93517C1,Sofia Karlsson,Näckaspel,6661369,Sofia Karlsson,Näckaspel
TRMMGZH128F14AE4CF,STEVE TAYLOR,Whatcha Gonna Do When Your Number's Up?   (The Best We Could Find Album Version),1785627,Steve Taylor,Whatcha Gonna Do When Your Number's Up?
TRMMGMB128F9321A3E,Junkyard,Waste of Time,3854179,Junkyard,Waste of Time
TRMMHOK128F4273A4E,JK,Deep in the night,2642038,JK,Deep in the Night
TRMMHGT128F42B91AD,Teairra Marí,Make Her Feel Good,3925282,Teairra Marí,Make Her Feel Good
TRMMHTC12903C9AF55,Morrissey,Margaret On The Guillotine (LP Version),1466203,Morrissey,Margaret on the Guillotine
TRMMHBF12903CF6E59,Laurel & Hardy,At the Ball_ That's All,1330307,Laurel & Hardy,"At the Ball, That's All"
TRMMHWI128F423B6AD,Pestilence,Presence Of The Dead (Album Version),1550751,Pestilence,Presence of the Dead
TRMMHDI128F42442F4,Biffy Clyro,Love Has A Diameter,6228678,Biffy Clyro,Love Has a Diameter
TRMMHBW12903CAFDE7,Mental Overdrive,Communion,6665464,Mental Overdrive,Communion
TRMMHRD128F4243970,Exhumed,No quarter,4060021,Exhumed,No Quarter
TRMMHIC128F92E8AE7,Johnny Cash,Rowboat,692229,Johnny Cash,Rowboat
TRMMHAK128F42667CA,Derek Trucks;Solomon Burke,Home In Your Heart,1101040,The Derek Trucks Band,Home In Your Heart (Feat. Solomon Burke)
TRMMHGC128F9338059,New York Rel-X,Sold Out Of Love,5226988,New York Rel-X,Sold Out Of Love
TRMMHYH128F4262566,Sensations,He's So Brave,4727301,Sensations,He's So Brave
TRMMHEG128F42783F1,Bad Dreams Fancy Dress,Rave Up,4897884,Bad Dream Fancy Dress,Rave Up
TRMMHMD128F427428D,Blue Foundation,02.17 AM,2408193,Blue Foundation,02.17 AM
TRMMHAK128F4244179,The Real Kids,She's Alright,883327,The Real Kids,She's Alright
TRMMHCQ128F92C9727,Dora The Explorer,The Itsy Bitsy Spider,8573793,Dora the Explorer,Itsy Bitsy Spider
TRMMHXD128F92E344B,Billy Cobham,Mirage,9671801,Billy Cobham,Mirage
TRMMHKG128F425EBC4,EM1,How Great Is Our King,4412056,EM1,How Great Is Our King
TRMMHGY128F42956EC,Santa Claws and the Naughty But Nice Orchestra,Battery,8786998,Santa Claws and the Naughty but Nice Orchestra,Battery
TRMMHKG12903CDB1B5,Foals,Black Gold,9761524,Foals,Black Gold
TRMMHRF128F424C910,Lird Van Goles,Walk In Holy Ghostwood/Time's Going On,6514985,Lird van Goles,Walk In Holy Ghostwood
TRMMHVC128F92F2941,Mississippi Sheiks,When You're Sick With The Blues,5972476,Mississippi Sheiks,When You're Sick With the Blues
TRMMHFS128F93039A6,Jessica Folcker,Snowflakes (VeebeeO Remix),13262636,Jessica Folcker,Snowflakes
TRMMHIG128F4228C77,Visaci Zamek,Traktor,6505358,Visací zámek,Traktor
TRMMHBL128F42BA0A8,Bryn Christopher,Smilin',7571178,Bryn Christopher,Smilin'
TRMMHXQ12903CA60B8,Voltio,Atrevida Bandolera,5159282,Voltio,Atrevida Bandolera/El Estudio (remix)
TRMMHFO128F426E55C,Hexstatic feat. Juice Aleem,Distorted Minds,2965124,Hexstatic,Distorted Minds (feat. Juice Aleem)
TRMMHND128F1479356,Mediengruppe Telekommander,Trend / Sprengkörper (Medley) (Live),7151902,Mediengruppe Telekommander,Trend / Sprengkörper (Live) (Medley)
TRMMHEB128F930B953,Middle Distance Runner,The Unbeliever,9624428,Middle Distance Runner,The Fury
TRMMHZK128F933648C,Denison Witmer,Paper Doll,3763114,Denison Witmer,Lawyers and White Paper
TRMMHMD128F42915F1,Boney M. 2000,Gotta Go Home,6498653,Boney M.,Gotta Go Home
TRMMHWM128F9316BD3,Michael Stanley Band,Gypsy Eyes,4396597,Michael Stanley Band,Gypsy Eyes
TRMMHFP128F935450F,The Show is the Rainbow,Three,6073525,The Show Is the Rainbow,Three
TRMMHLC128F92D80ED,Kill The Client,Gridlock,4426386,Kill the Client,Gridlock
TRMMHPJ12903CF3225,Giant Drag,White Baby,9723532,Giant Drag,White Baby
TRMMHDT128F422F115,Thursday,A Hole In The World (Album Version),833865,Thursday,A Hole in the World
TRMMHAV128F427F9E8,The Peelers,That's Why I'm Leaving,3935805,The Kitty Vermont,That's Why I'm Leaving
